bank_name,gvkey,iid,datadate,fyear,at,ch,ivst,ist,tdst,lcuacu,lcabg,rcl,teq,seq,ceq,intan,pstk,nicon,npat,total_assets,liquid_assets,gross_loans,loan_loss_allowances,total_equity,shareholder_equity,common_equity,intangible_assets,preferred_equity,net_income,nonperforming_assets,first_trading_date,first_trading_year,market_age
Barclays PLC,012673,01W,20221231,2022,1513699.0000,259325.0000,281511.0000,74520.0000,475622.0000,382333.0000,10015.0000,5592.0000,69260.0000,68292.0000,68292.0000,8239.0000,,5023.00000,7086.0000,1513699,1090978,392348,5592,69260,68292,68292,8239,,5023,7086,1984-01-02,1984,38
Barclays PLC,012673,01W,20231231,2023,1477487.0000,227515.0000,264372.0000,138466.0000,479080.0000,326649.0000,9459.0000,5721.0000,71864.0000,71204.0000,71204.0000,7794.0000,,4274.00000,7191.0000,1477487,1109433,336108,5721,71864,71204,71204,7794,,4274,7191,1984-01-02,1984,39
Barclays PLC,012673,01W,20241231,2024,1518202.0000,214469.0000,269295.0000,153162.0000,505051.0000,330716.0000,8327.0000,5070.0000,72481.0000,71821.0000,71821.0000,8275.0000,,5316.00000,7416.0000,1518202,1141977,339043,5070,72481,71821,71821,8275,,5316,7416,1984-01-02,1984,40
Barclays PLC,012673,01W,20251231,2025,1544165.0000,234099.0000,283649.0000,149566.0000,490192.0000,345531.0000,8638.0000,5289.0000,78236.0000,77784.0000,77784.0000,8284.0000,,6175.00000,7569.0000,1544165,1157506,354169,5289,78236,77784,77784,8284,,6175,7569,1984-01-02,1984,41
Bayerische Landesbank,024562,,20211231,2021,266554.0000,723.0000,16819.0000,19915.0000,9620.0000,157871.0000,56266.0000,1117.0000,12308.0000,12297.0000,12297.0000,170.0000,,,1492.0000,266554,47077,214137,1117,12308,12297,12297,170,,,1492,,,
Bayerische Landesbank,024562,,20221231,2022,259343.0000,640.0000,1511.0000,17876.0000,7100.0000,164738.0000,61438.0000,1201.0000,13540.0000,13529.0000,13529.0000,214.0000,,,1603.0000,259343,27127,226176,1201,13540,13529,13529,214,,,1603,,,
Bayerische Landesbank,024562,,20231231,2023,273364.0000,708.0000,1150.0000,17914.0000,9213.0000,169807.0000,69312.0000,1262.0000,14633.0000,14621.0000,14621.0000,266.0000,,,2789.0000,273364,28985,239119,1262,14633,14621,14621,266,,,2789,,,
Bayerische Landesbank,024562,,20241231,2024,267747.0000,764.0000,1537.0000,16873.0000,10986.0000,180211.0000,52182.0000,1539.0000,15493.0000,15493.0000,15493.0000,300.0000,,,3067.0000,267747,30160,232393,1539,15493,15493,15493,300,,,3067,,,
CaixaBank SA,286879,01W,20211231,2021,680036.0000,4642.0000,99574.0000,84779.0000,12914.0000,344116.0000,7869.0000,8260.0000,35425.0000,35394.0000,35394.0000,4933.0000,,4980.00000,13994.0000,680036,201909,351985,8260,35425,35394,35394,4933,,4980,13994,1984-01-02,1984,37
CaixaBank SA,286879,01W,20221231,2022,592234.0000,4138.0000,16384.0000,90808.0000,7278.0000,352098.0000,12187.0000,7401.0000,34262.0000,34230.0000,34230.0000,5219.0000,,2882.00000,10863.0000,592234,118608,364285,7401,34262,34230,34230,5219,,2882,10863,1984-01-02,1984,38
CaixaBank SA,286879,01W,20231231,2023,607167.0000,4157.0000,33704.0000,168131.0000,7963.0000,342929.0000,11882.0000,7330.0000,36339.0000,36307.0000,36307.0000,4987.0000,,4537.00000,10670.0000,607167,213955,354811,7330,36339,36307,36307,4987,,4537,10670,1984-01-02,1984,39
CaixaBank SA,286879,01W,20241231,2024,631003.0000,3849.0000,45955.0000,172554.0000,6140.0000,350227.0000,14950.0000,6686.0000,36866.0000,36832.0000,36832.0000,5073.0000,,5519.00000,10259.0000,631003,228498,365177,6686,36866,36832,36832,5073,,5519,10259,1984-01-02,1984,40
CaixaBank SA,286879,01W,20251231,2025,664040.0000,3688.0000,52765.0000,187124.0000,7007.0000,364703.0000,14844.0000,6324.0000,38526.0000,38510.0000,38510.0000,5269.0000,,5611.00000,8490.0000,664040,250584,379547,6324,38526,38510,38510,5269,,5611,8490,1984-01-02,1984,41
Commerzbank AG,015575,01W,20211231,2021,473044.0000,9707.0000,39800.0000,78520.0000,68955.0000,235330.0000,30067.0000,2829.0000,29826.0000,28851.0000,28851.0000,1243.0000,,290.00000,4152.0000,473044,196982,265397,2829,29826,28851,28851,1243,,290,4152,1984-01-02,1984,37
Commerzbank AG,015575,01W,20221231,2022,477438.0000,58107.0000,17126.0000,66717.0000,57937.0000,239217.0000,28487.0000,3043.0000,30904.0000,30016.0000,30016.0000,1289.0000,,1245.00000,5601.0000,477438,199887,267704,3043,30904,30016,30016,1289,,1245,5601,1984-01-02,1984,38
Commerzbank AG,015575,01W,20231231,2023,517166.0000,65821.0000,27305.0000,74156.0000,71393.0000,238597.0000,30571.0000,3872.0000,33008.0000,31992.0000,31992.0000,1394.0000,,2030.00000,4730.0000,517166,238675,269168,3872,33008,31992,31992,1394,,2030,4730,1984-01-02,1984,39
Commerzbank AG,015575,01W,20241231,2024,554646.0000,45889.0000,27112.0000,93242.0000,99641.0000,243889.0000,35292.0000,3795.0000,35717.0000,34468.0000,34468.0000,1785.0000,,2465.00000,5404.0000,554646,265884,279181,3795,35717,34468,34468,1785,,2465,5404,1984-01-02,1984,40
Commerzbank AG,015575,01W,20251231,2025,,,,,,,,,35771.0000,35771.0000,35771.0000,,,2625.00000,,,,,,35771,35771,35771,,,2625,,1984-01-02,1984,41
Credit Agricole Group,024563,02W,20211231,2021,2073955.0000,1737.0000,758490.0000,529507.0000,144789.0000,50187.0000,501347.0000,9309.0000,76916.0000,68217.0000,68217.0000,18895.0000,,5486.00000,12337.0000,2073955,1434523,551534,9309,76916,68217,68217,18895,,5486,12337,1984-01-02,1984,37
Credit Agricole Group,024563,02W,20221231,2022,2167621.0000,1580.0000,774152.0000,474219.0000,187958.0000,39898.0000,552581.0000,9783.0000,73480.0000,64633.0000,64633.0000,18886.0000,,4909.00000,13830.0000,2167621,1437909,592479,9783,73480,64633,64633,18886,,4909,13830,1984-01-02,1984,38
Credit Agricole Group,024563,02W,20231231,2023,2189398.0000,1519.0000,754430.0000,514900.0000,175300.0000,80523.0000,554928.0000,9998.0000,79919.0000,71086.0000,71086.0000,19071.0000,,5893.00000,14002.0000,2189398,1446149,635451,9998,79919,71086,71086,19071,,5893,14002,1984-01-02,1984,39
Credit Agricole Group,024563,02W,20241231,2024,2309782.0000,1587.0000,750618.0000,539854.0000,242464.0000,108359.0000,565403.0000,10076.0000,83311.0000,74710.0000,74710.0000,19675.0000,,6358.00000,13404.0000,2309782,1534523,673762,10076,83311,74710,74710,19675,,6358,13404,1984-01-02,1984,40
Credit Agricole Group,024563,02W,20251231,2025,2374307.0000,1533.0000,760405.0000,571046.0000,254195.0000,118785.0000,570119.0000,10001.0000,85864.0000,77662.0000,77662.0000,19821.0000,,6598.00000,13842.0000,2374307,1587179,688904,10001,85864,77662,77662,19821,,6598,13842,1984-01-02,1984,41
DNB Bank ASA,015538,03W,20211231,2021,2919244.0000,307735.0000,54779.0000,460564.0000,135400.0000,1645184.0000,44959.0000,9982.0000,243911.0000,243645.0000,243645.0000,5804.0000,,24257.00000,30557.0000,2919244,958478,1690143,9982,243911,243645,243645,5804,,24257,30557,1984-01-02,1984,37
DNB Bank ASA,015538,03W,20221231,2022,3233405.0000,317123.0000,56872.0000,532599.0000,185687.0000,1884034.0000,20558.0000,7974.0000,249840.0000,249613.0000,249613.0000,10273.0000,,32317.00000,27568.0000,3233405,1092281,1904592,7974,249840,249613,249613,10273,,32317,27568,1984-01-02,1984,38
DNB Bank ASA,015538,03W,20231231,2023,3439724.0000,335580.0000,66698.0000,593442.0000,178263.0000,1836406.0000,94259.0000,7775.0000,269296.0000,269128.0000,269128.0000,10456.0000,,38315.00000,26351.0000,3439724,1173983,1930665,7775,269296,269128,269128,10456,,38315,26351,1984-01-02,1984,39
DZ Bank AG,267620,01W,20211231,2021,627273.0000,82160.0000,15025.0000,153443.0000,48829.0000,183312.0000,107659.0000,1932.0000,28660.0000,26859.0000,26859.0000,677.0000,,1996.00000,3400.0000,627273,299457,290971,1932,28660,26859,26859,677,,1996,3400,1984-01-02,1984,37
DZ Bank AG,267620,01W,20221231,2022,627041.0000,89558.0000,24137.0000,121448.0000,46582.0000,185747.0000,123444.0000,2008.0000,23076.0000,21967.0000,21967.0000,664.0000,,1031.00000,3100.0000,627041,281725,309191,2008,23076,21967,21967,664,,1031,3100,1984-01-02,1984,38
DZ Bank AG,267620,01W,20231231,2023,644589.0000,97696.0000,21981.0000,130867.0000,33654.0000,190657.0000,128867.0000,2239.0000,31068.0000,29105.0000,29105.0000,592.0000,,2130.00000,3800.0000,644589,284198,319524,2239,31068,29105,29105,592,,2130,3800,1984-01-02,1984,39
DZ Bank AG,267620,01W,20241231,2024,659638.0000,77583.0000,34331.0000,147172.0000,29987.0000,182467.0000,143532.0000,2839.0000,32577.0000,30541.0000,30541.0000,595.0000,,2221.00000,5500.0000,659638,289073,325999,2839,32577,30541,30541,595,,2221,5500,1984-01-02,1984,40
Danske Bank A/S,015552,01W,20211231,2021,3935834.0000,76376.0000,502841.0000,303777.0000,509590.0000,1769066.0000,71156.0000,20381.0000,176704.0000,171207.0000,171207.0000,8819.0000,,12469.00000,28458.0000,3935834,1392584,1840222,20381,176704,171207,171207,8819,,12469,28458,1984-01-02,1984,37
Danske Bank A/S,015552,01W,20221231,2022,3762999.0000,64109.0000,378795.0000,302958.0000,638799.0000,1744311.0000,60811.0000,16971.0000,160318.0000,160318.0000,160318.0000,6802.0000,,-5154.00000,32230.0000,3762999,1384661,1805122,16971,160318,160318,160318,6802,,-5154,32230,1984-01-02,1984,38
Danske Bank A/S,015552,01W,20231231,2023,3770981.0000,112872.0000,429463.0000,283914.0000,548189.0000,1665743.0000,114813.0000,16964.0000,175739.0000,175739.0000,175739.0000,6064.0000,,21262.00000,32703.0000,3770981,1374438,1780556,16964,175739,175739,175739,6064,,21262,32703,1984-01-02,1984,39
Danske Bank A/S,015552,01W,20241231,2024,3716042.0000,141509.0000,422594.0000,269118.0000,531831.0000,1531110.0000,143569.0000,16995.0000,175687.0000,175687.0000,175687.0000,6737.0000,,23629.00000,28538.0000,3716042,1365052,1674679,16995,175687,175687,175687,6737,,23629,28538,1984-01-02,1984,40
