bank_name,gvkey,iid,datadate,prccd,ajexdi,trfd,adj_close,ret,prev_adj_close
BNP Paribas SA,015532,04W,2024-08-27,61.99000000,1.00000000,2.88220274,178.66774785,0.0087876322,178.66774785
BNP Paribas SA,015532,04W,2024-08-28,61.88000000,1.00000000,2.88220274,178.35070555,-0.00177448,178.35070555
BNP Paribas SA,015532,04W,2024-08-29,62.11000000,1.00000000,2.88220274,179.01361218,0.0037168714,179.01361218
BNP Paribas SA,015532,04W,2024-08-30,62.58000000,1.00000000,2.88220274,180.36824747,0.0075672194,180.36824747
BNP Paribas SA,015532,04W,2024-09-02,62.43000000,1.00000000,2.88220274,179.93591706,-0.002396932,179.93591706
BNP Paribas SA,015532,04W,2024-09-03,61.68000000,1.00000000,2.88220274,177.774265,-0.012013455,177.774265
BNP Paribas SA,015532,04W,2024-09-04,61.92000000,1.00000000,2.88220274,178.46599366,0.0038910506,178.46599366
BNP Paribas SA,015532,04W,2024-09-05,63.61000000,1.00000000,2.88220274,183.33691629,0.0272932817,183.33691629
BNP Paribas SA,015532,04W,2024-09-06,62.18000000,1.00000000,2.88220274,179.21536637,-0.022480742,179.21536637
BNP Paribas SA,015532,04W,2024-09-09,62.57000000,1.00000000,2.88220274,180.33942544,0.0062721132,180.33942544
BNP Paribas SA,015532,04W,2024-09-10,62.18000000,1.00000000,2.88220274,179.21536637,-0.006233019,179.21536637
BNP Paribas SA,015532,04W,2024-09-11,62.61000000,1.00000000,2.88220274,180.45471355,0.0069154069,180.45471355
BNP Paribas SA,015532,04W,2024-09-12,63.47000000,1.00000000,2.88220274,182.93340791,0.0137358249,182.93340791
BNP Paribas SA,015532,04W,2024-09-13,63.37000000,1.00000000,2.88220274,182.64518763,-0.001575548,182.64518763
BNP Paribas SA,015532,04W,2024-09-16,63.29000000,1.00000000,2.88220274,182.41461141,-0.001262427,182.41461141
BNP Paribas SA,015532,04W,2024-09-17,64.45000000,1.00000000,2.88220274,185.75796659,0.0183283299,185.75796659
BNP Paribas SA,015532,04W,2024-09-18,64.15000000,1.00000000,2.88220274,184.89330577,-0.004654771,184.89330577
BNP Paribas SA,015532,04W,2024-09-19,65.17000000,1.00000000,2.88220274,187.83315257,0.0159002338,187.83315257
BNP Paribas SA,015532,04W,2024-09-20,64.78000000,1.00000000,2.88220274,186.7090935,-0.005984349,186.7090935
BNP Paribas SA,015532,04W,2024-09-23,62.41000000,1.00000000,2.88220274,179.878273,-0.036585366,179.878273
BNP Paribas SA,015532,04W,2024-09-24,62.82000000,1.00000000,2.88220274,181.05997613,0.00656946,181.05997613
BNP Paribas SA,015532,04W,2024-09-25,62.31000000,1.00000000,2.88220274,179.59005273,-0.008118434,179.59005273
BNP Paribas SA,015532,04W,2024-09-26,63.24000000,1.00000000,2.88220274,182.27050128,0.0149253731,182.27050128
BNP Paribas SA,015532,04W,2024-09-27,63.30000000,1.00000000,2.88220274,182.44343344,0.0009487666,182.44343344
BNP Paribas SA,015532,04W,2024-09-30,61.55000000,1.00000000,2.88220274,177.39957865,-0.02764613,177.39957865
BNP Paribas SA,015532,04W,2024-10-01,61.14000000,1.00000000,2.88220274,176.21787552,-0.006661251,176.21787552
BNP Paribas SA,015532,04W,2024-10-02,60.96000000,1.00000000,2.88220274,175.69907903,-0.002944063,175.69907903
BNP Paribas SA,015532,04W,2024-10-03,60.09000000,1.00000000,2.88220274,173.19156265,-0.014271654,173.19156265
BNP Paribas SA,015532,04W,2024-10-04,60.86000000,1.00000000,2.88220274,175.41085876,0.0128141122,175.41085876
BNP Paribas SA,015532,04W,2024-10-07,61.81000000,1.00000000,2.88220274,178.14895136,0.0156095958,178.14895136
BNP Paribas SA,015532,04W,2024-10-08,61.90000000,1.00000000,2.88220274,178.40834961,0.0014560751,178.40834961
BNP Paribas SA,015532,04W,2024-10-09,62.10000000,1.00000000,2.88220274,178.98479015,0.0032310178,178.98479015
BNP Paribas SA,015532,04W,2024-10-10,61.92000000,1.00000000,2.88220274,178.46599366,-0.002898551,178.46599366
BNP Paribas SA,015532,04W,2024-10-11,62.16000000,1.00000000,2.88220274,179.15772232,0.003875969,179.15772232
BNP Paribas SA,015532,04W,2024-10-14,62.92000000,1.00000000,2.88220274,181.3481964,0.0122265122,181.3481964
BNP Paribas SA,015532,04W,2024-10-15,63.71000000,1.00000000,2.88220274,183.62513657,0.0125556262,183.62513657
BNP Paribas SA,015532,04W,2024-10-16,64.48000000,1.00000000,2.88220274,185.84443268,0.0120860148,185.84443268
BNP Paribas SA,015532,04W,2024-10-17,65.61000000,1.00000000,2.88220274,189.10132177,0.0175248139,189.10132177
BNP Paribas SA,015532,04W,2024-10-18,66.27000000,1.00000000,2.88220274,191.00357558,0.0100594422,191.00357558
BNP Paribas SA,015532,04W,2024-10-21,65.80000000,1.00000000,2.88220274,189.64894029,-0.007092199,189.64894029
